role_id,model_type,model_id,team_id
4,App\Models\User,297,1
4,App\Models\User,248,1
4,App\Models\User,249,1
4,App\Models\User,276,1
4,App\Models\User,251,1
4,App\Models\User,252,1
4,App\Models\User,253,1
4,App\Models\User,250,1
4,App\Models\User,254,1
4,App\Models\User,255,1
4,App\Models\User,256,1
4,App\Models\User,257,1
4,App\Models\User,258,1
4,App\Models\User,259,1
4,App\Models\User,260,1
4,App\Models\User,261,1
4,App\Models\User,262,1
4,App\Models\User,263,1
4,App\Models\User,247,1
4,App\Models\User,264,1
4,App\Models\User,265,1
4,App\Models\User,266,1
4,App\Models\User,267,1
4,App\Models\User,268,1
4,App\Models\User,270,1
4,App\Models\User,271,1
4,App\Models\User,272,1
4,App\Models\User,273,1
4,App\Models\User,274,1
4,App\Models\User,277,1
4,App\Models\User,278,1
4,App\Models\User,279,1
4,App\Models\User,280,1
4,App\Models\User,281,1
4,App\Models\User,298,1
4,App\Models\User,282,1
4,App\Models\User,283,1
4,App\Models\User,269,1
4,App\Models\User,285,1
4,App\Models\User,286,1
4,App\Models\User,287,1
4,App\Models\User,288,1
4,App\Models\User,284,1
4,App\Models\User,289,1
4,App\Models\User,290,1
4,App\Models\User,299,1
4,App\Models\User,275,1
4,App\Models\User,291,1
4,App\Models\User,292,1
4,App\Models\User,293,1
4,App\Models\User,311,1
4,App\Models\User,295,1
4,App\Models\User,296,1
4,App\Models\User,301,1
4,App\Models\User,302,1
4,App\Models\User,294,1
4,App\Models\User,303,1
4,App\Models\User,300,1
4,App\Models\User,304,1
4,App\Models\User,305,1
4,App\Models\User,306,1
4,App\Models\User,308,1
4,App\Models\User,309,1
4,App\Models\User,310,1
4,App\Models\User,312,1
4,App\Models\User,242,1
4,App\Models\User,313,1
4,App\Models\User,314,1
4,App\Models\User,315,1
4,App\Models\User,317,1
4,App\Models\User,233,1
4,App\Models\User,318,1
4,App\Models\User,316,1
4,App\Models\User,307,1
