id,uuid,course_id,entry_period,academic_term_id,team_id,code,name,created_at,updated_at
1,5b5c9d80-b61e-4221-9bbb-d809bbe66436,1,2026.1,1,1,20261.1.213.291.2I,20261.1.213.291.2I,2026-06-23 23:34:14,2026-06-23 23:34:14
2,518ceef8-b81e-4566-9b42-ef209058852c,1,2026.1,1,1,20261.2.213.291.2I,20261.2.213.291.2I,2026-06-23 23:34:14,2026-06-23 23:34:14
3,05e65118-db82-42c2-902d-1b63761f38c9,1,2026.1,1,1,20261.2.213.291.1I,20261.2.213.291.1I,2026-06-23 23:34:14,2026-06-23 23:34:14
4,e31e78bb-296d-41e3-a850-a3708933558a,1,2026.1,1,1,20261.3.213.291.2I,20261.3.213.291.2I,2026-06-23 23:34:14,2026-06-23 23:34:14
5,8f8f3ba6-7142-4215-927d-1ac6a8816d3d,1,2026.1,1,1,20261.3.213.291.1I,20261.3.213.291.1I,2026-06-23 23:34:14,2026-06-23 23:34:14
6,8d833517-374d-47ae-a377-82fae2a1387e,1,2026.1,1,1,20261.1.213.291.1I,20261.1.213.291.1I,2026-06-23 23:34:14,2026-06-23 23:34:14
7,307302ce-0f15-4472-b95c-a1e00d7db7ed,2,2026.1,1,1,20261.5.216.319.1N,20261.5.216.319.1N,2026-06-23 23:34:16,2026-06-23 23:34:16
8,15908185-d4bc-4752-912e-df208e6e6300,2,2026.1,1,1,20261.3.216.319.1N,20261.3.216.319.1N,2026-06-23 23:34:16,2026-06-23 23:34:16
9,16930b74-b868-4485-bd66-c078d80b35ef,2,2026.1,1,1,20261.6.216.319.1N,20261.6.216.319.1N,2026-06-23 23:34:16,2026-06-23 23:34:16
10,b972c114-77d5-4455-b56c-82f92c563110,2,2026.1,1,1,20261.1.216.319.1N,20261.1.216.319.1N,2026-06-23 23:34:16,2026-06-23 23:34:16
11,7a65873a-96e4-4ed9-9ef2-a2d47f9ada85,3,2026.1,1,1,20261.1.215.183.1N,20261.1.215.183.1N,2026-06-23 23:34:17,2026-06-23 23:34:17
12,50d67f17-dc94-451e-be41-cb18074bdfbd,3,2026.1,1,1,20261.2.215.183.1N,20261.2.215.183.1N,2026-06-23 23:34:17,2026-06-23 23:34:17
13,18025257-fb95-459f-a382-446af0efdf73,4,2026.1,1,1,20261.2.211.290.1I,20261.2.211.290.1I,2026-06-23 23:34:17,2026-06-23 23:34:17
14,4d72235b-400f-4340-9c1c-44a45c39c918,4,2026.1,1,1,20261.3.211.290.1I,20261.3.211.290.1I,2026-06-23 23:34:17,2026-06-23 23:34:17
15,5ba38189-2688-401c-89c2-dd56f77c3a3a,4,2026.1,1,1,20261.1.211.290.1I,20261.1.211.290.1I,2026-06-23 23:34:17,2026-06-23 23:34:17
16,2e5a53cc-3e91-46d5-b124-4e74088ab9ee,5,2026.1,1,1,20261.3.097.395.1N,20261.3.097.395.1N,2026-06-23 23:34:18,2026-06-23 23:34:18
17,683dc879-4372-4fe2-927e-5e6e2ce9d9a8,5,2026.1,1,1,20261.1.097.395.1N,20261.1.097.395.1N,2026-06-23 23:34:18,2026-06-23 23:34:18
18,bc5850da-05b4-4cd6-be9a-8a028b290267,5,2026.1,1,1,20261.5.097.395.1N,20261.5.097.395.1N,2026-06-23 23:34:18,2026-06-23 23:34:18
19,15f4a575-851f-459c-a5f8-1b114e550d87,5,2026.1,1,1,20261.6.097.223.1N,20261.6.097.223.1N,2026-06-23 23:34:18,2026-06-23 23:34:18
20,2de2c514-ee75-439a-a91d-947f413b21ae,5,2026.1,1,1,20261.6.097.395.1N,20261.6.097.395.1N,2026-06-23 23:34:18,2026-06-23 23:34:18
21,d76ba94c-7d0e-450f-be04-e9154d529e99,6,2026.1,1,1,20261.2.194.405.1M,20261.2.194.405.1M,2026-06-23 23:34:19,2026-06-23 23:34:19
22,95ccc1cc-c04f-4001-b9c1-b14d01d64d78,6,2026.1,1,1,20261.1.194.405.1M,20261.1.194.405.1M,2026-06-23 23:34:19,2026-06-23 23:34:19
23,e8b47549-0b6a-4e6e-a5df-44a0f233f1a2,6,2026.1,1,1,20261.3.194.405.1M,20261.3.194.405.1M,2026-06-23 23:34:19,2026-06-23 23:34:19
24,9f769258-86ad-442b-9d2b-c13f76d43cea,7,2026.1,1,1,20261.3.195.300.1N,20261.3.195.300.1N,2026-06-23 23:34:19,2026-06-23 23:34:19
25,6f568576-0191-4e90-883a-a050b0a6c483,7,2026.1,1,1,20261.1.195.300.1N,20261.1.195.300.1N,2026-06-23 23:34:19,2026-06-23 23:34:19
26,ca0fb2d2-a3d8-4a75-9fbf-a603f9308fc6,8,2026.1,1,1,20261.1.280.554.1I,20261.1.280.554.1I,2026-06-23 23:34:20,2026-06-23 23:34:20
27,c605546f-9cba-46d5-b468-6539e4e94787,8,2026.1,1,1,20261.3.280.554.1M,20261.3.280.554.1M,2026-06-23 23:34:20,2026-06-23 23:34:20
28,2d64b678-f5e2-43d9-9d19-8e1b2ad58722,9,2026.1,1,1,20261.1.349.653.1I,20261.1.349.653.1I,2026-06-23 23:34:20,2026-06-23 23:34:20
29,adc5358d-1d92-4d4d-9e9f-99d1cfa61a54,4,2026.1,1,1,20261.1.211.290.1D,20261.1.211.290.1D,2026-06-23 23:34:23,2026-06-23 23:34:23
