id,timestamp,type,key,key_hash,value
21606,1785286580,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21607,1785286595,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21608,1785286595,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21609,1785286597,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21610,1785286597,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21611,1785286610,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21612,1785286610,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21613,1785286613,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21614,1785286613,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21615,1785286624,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21616,1785286624,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21617,1785286631,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21618,1785286631,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21619,1785286646,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21620,1785286646,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21621,1785286649,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21622,1785286649,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21623,1785286660,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21624,1785286660,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21625,1785286662,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21626,1785286662,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
21627,1785286670,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,
21628,1785286670,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,
