id,bucket,period,type,key,key_hash,aggregate,value,count
87101,1785161700,60,user_request,318,432aca3a-1e34-5e33-9f35-a30c8f65edce,count,1.00,
87105,1785161700,60,cache_miss,livewire-checksum-failures:45.169.9.104,04045a4c-6000-42db-38ca-f291a246ddc9,count,1.00,
86599,1785160800,1440,cache_miss,livewire-checksum-failures:45.169.9.104,04045a4c-6000-42db-38ca-f291a246ddc9,count,57.00,
86600,1785157920,10080,cache_miss,livewire-checksum-failures:45.169.9.104,04045a4c-6000-42db-38ca-f291a246ddc9,count,57.00,
87109,1785265800,60,slow_query,"[""select exists (select 1 from pg_class c, pg_namespace n where n.nspname = current_schema() and c.relname = 'migrations' and c.relkind in ('r', 'p') and n.oid = c.relnamespace)"",""vendor\/symfony\/console\/Command\/Command.php:284""]",16f15c87-9928-33c8-75bd-68ffd928ce35,count,1.00,
87110,1785265560,360,slow_query,"[""select exists (select 1 from pg_class c, pg_namespace n where n.nspname = current_schema() and c.relname = 'migrations' and c.relkind in ('r', 'p') and n.oid = c.relnamespace)"",""vendor\/symfony\/console\/Command\/Command.php:284""]",16f15c87-9928-33c8-75bd-68ffd928ce35,count,1.00,
87111,1785264480,1440,slow_query,"[""select exists (select 1 from pg_class c, pg_namespace n where n.nspname = current_schema() and c.relname = 'migrations' and c.relkind in ('r', 'p') and n.oid = c.relnamespace)"",""vendor\/symfony\/console\/Command\/Command.php:284""]",16f15c87-9928-33c8-75bd-68ffd928ce35,count,1.00,
87112,1785258720,10080,slow_query,"[""select exists (select 1 from pg_class c, pg_namespace n where n.nspname = current_schema() and c.relname = 'migrations' and c.relkind in ('r', 'p') and n.oid = c.relnamespace)"",""vendor\/symfony\/console\/Command\/Command.php:284""]",16f15c87-9928-33c8-75bd-68ffd928ce35,count,1.00,
87113,1785265800,60,slow_query,"[""select exists (select 1 from pg_class c, pg_namespace n where n.nspname = current_schema() and c.relname = 'migrations' and c.relkind in ('r', 'p') and n.oid = c.relnamespace)"",""vendor\/symfony\/console\/Command\/Command.php:284""]",16f15c87-9928-33c8-75bd-68ffd928ce35,max,4629.00,
87114,1785265560,360,slow_query,"[""select exists (select 1 from pg_class c, pg_namespace n where n.nspname = current_schema() and c.relname = 'migrations' and c.relkind in ('r', 'p') and n.oid = c.relnamespace)"",""vendor\/symfony\/console\/Command\/Command.php:284""]",16f15c87-9928-33c8-75bd-68ffd928ce35,max,4629.00,
87115,1785264480,1440,slow_query,"[""select exists (select 1 from pg_class c, pg_namespace n where n.nspname = current_schema() and c.relname = 'migrations' and c.relkind in ('r', 'p') and n.oid = c.relnamespace)"",""vendor\/symfony\/console\/Command\/Command.php:284""]",16f15c87-9928-33c8-75bd-68ffd928ce35,max,4629.00,
87116,1785258720,10080,slow_query,"[""select exists (select 1 from pg_class c, pg_namespace n where n.nspname = current_schema() and c.relname = 'migrations' and c.relkind in ('r', 'p') and n.oid = c.relnamespace)"",""vendor\/symfony\/console\/Command\/Command.php:284""]",16f15c87-9928-33c8-75bd-68ffd928ce35,max,4629.00,
87117,1785286200,60,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
